,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
17,55.0,86.0,76.0,55.0,60.0,138956.0,55.0,78.0,86.0,60.0,76.0,55.0,58.0,59.0,56.0,75.0,55.0,78.0,86.0,60.0,76.0,55.0,58.0,59.0,56.0,75.0,59.0
18,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,1179.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
19,86.0,43.0,55.0,86.0,78.0,211110.0,86.0,55.0,43.0,78.0,55.0,86.0,86.0,83.0,87.0,60.0,86.0,55.0,43.0,78.0,55.0,86.0,86.0,83.0,87.0,60.0,83.0
20,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,200389.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
21,84.0,48.0,57.0,85.0,76.0,194765.0,84.0,56.0,48.0,76.0,57.0,85.0,84.0,85.0,86.0,60.0,84.0,56.0,48.0,76.0,57.0,85.0,84.0,85.0,86.0,60.0,85.0
22,86.0,66.0,76.0,83.0,85.0,189509.0,86.0,72.0,66.0,85.0,76.0,83.0,83.0,77.0,83.0,75.0,86.0,72.0,66.0,85.0,76.0,83.0,83.0,77.0,83.0,75.0,77.0
23,82.0,52.0,59.0,84.0,74.0,188567.0,82.0,62.0,52.0,74.0,59.0,84.0,83.0,85.0,84.0,65.0,82.0,62.0,52.0,74.0,59.0,84.0,83.0,85.0,84.0,65.0,85.0
24,68.0,86.0,83.0,66.0,75.0,184344.0,68.0,79.0,86.0,75.0,83.0,66.0,66.0,65.0,63.0,76.0,68.0,79.0,86.0,75.0,83.0,66.0,66.0,65.0,63.0,76.0,65.0
25,67.0,85.0,82.0,66.0,73.0,183907.0,67.0,81.0,85.0,73.0,82.0,66.0,69.0,65.0,65.0,79.0,67.0,81.0,85.0,73.0,82.0,66.0,69.0,65.0,65.0,79.0,65.0
26,63.0,86.0,80.0,62.0,69.0,182493.0,63.0,79.0,86.0,69.0,80.0,62.0,63.0,64.0,61.0,76.0,63.0,79.0,86.0,69.0,80.0,62.0,63.0,64.0,61.0,76.0,64.0
27,71.0,85.0,83.0,69.0,77.0,178603.0,71.0,80.0,85.0,77.0,83.0,69.0,70.0,69.0,68.0,78.0,71.0,80.0,85.0,77.0,83.0,69.0,70.0,69.0,68.0,78.0,69.0
28,85.0,41.0,57.0,82.0,79.0,176635.0,85.0,52.0,41.0,79.0,57.0,82.0,83.0,76.0,83.0,58.0,85.0,52.0,41.0,79.0,57.0,82.0,83.0,76.0,83.0,58.0,76.0
29,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,167948.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
30,72.0,85.0,83.0,69.0,77.0,164240.0,72.0,81.0,85.0,77.0,83.0,69.0,70.0,67.0,68.0,79.0,72.0,81.0,85.0,77.0,83.0,69.0,70.0,67.0,68.0,79.0,67.0
31,83.0,52.0,60.0,83.0,78.0,41236.0,83.0,54.0,52.0,78.0,60.0,83.0,80.0,84.0,82.0,58.0,83.0,54.0,52.0,78.0,60.0,83.0,80.0,84.0,82.0,58.0,84.0
32,86.0,47.0,59.0,86.0,78.0,9014.0,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,82.0
33,78.0,81.0,84.0,76.0,81.0,215914.0,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,72.0
34,82.0,77.0,84.0,77.0,85.0,199556.0,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,69.0
35,84.0,74.0,79.0,83.0,84.0,195864.0,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,81.0
36,85.0,53.0,68.0,82.0,83.0,190460.0,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,77.0
37,81.0,84.0,85.0,81.0,83.0,181872.0,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,81.0
38,80.0,58.0,62.0,82.0,74.0,179813.0,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,84.0
39,79.0,82.0,82.0,79.0,80.0,176676.0,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
40,85.0,71.0,77.0,84.0,85.0,171877.0,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,81.0
41,83.0,64.0,74.0,82.0,84.0,168651.0,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,78.0
42,84.0,50.0,64.0,81.0,81.0,168542.0,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,75.0
43,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,162835.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
44,68.0,84.0,81.0,68.0,74.0,152729.0,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,69.0
45,87.0,63.0,74.0,83.0,84.0,41.0,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,76.0
46,79.0,57.0,62.0,82.0,74.0,202126.0,79.0,60.0,57.0,74.0,62.0,82.0,78.0,84.0,79.0,62.0,79.0,60.0,57.0,74.0,62.0,82.0,78.0,84.0,79.0,62.0,84.0
47,83.0,53.0,64.0,83.0,79.0,198710.0,83.0,61.0,53.0,79.0,64.0,83.0,82.0,80.0,83.0,65.0,83.0,61.0,53.0,79.0,64.0,83.0,82.0,80.0,83.0,65.0,80.0
48,85.0,61.0,71.0,84.0,84.0,197781.0,85.0,67.0,61.0,84.0,71.0,84.0,82.0,79.0,83.0,70.0,85.0,67.0,61.0,84.0,71.0,84.0,82.0,79.0,83.0,70.0,79.0
49,80.0,80.0,82.0,79.0,81.0,197445.0,80.0,83.0,80.0,81.0,82.0,79.0,81.0,77.0,80.0,84.0,80.0,83.0,80.0,81.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
50,77.0,53.0,57.0,80.0,71.0,192505.0,77.0,56.0,53.0,71.0,57.0,80.0,77.0,84.0,78.0,58.0,77.0,56.0,53.0,71.0,57.0,80.0,77.0,84.0,78.0,58.0,84.0
51,77.0,81.0,81.0,76.0,78.0,191043.0,77.0,84.0,81.0,78.0,81.0,76.0,80.0,75.0,78.0,84.0,77.0,84.0,81.0,78.0,81.0,76.0,80.0,75.0,78.0,84.0,75.0
52,81.0,58.0,65.0,83.0,78.0,189596.0,81.0,66.0,58.0,78.0,65.0,83.0,81.0,83.0,81.0,68.0,81.0,66.0,58.0,78.0,65.0,83.0,81.0,83.0,81.0,68.0,83.0
53,75.0,80.0,83.0,72.0,81.0,189511.0,75.0,76.0,80.0,81.0,83.0,72.0,73.0,68.0,70.0,77.0,75.0,76.0,80.0,81.0,83.0,72.0,73.0,68.0,70.0,77.0,68.0
54,85.0,49.0,61.0,83.0,79.0,189242.0,85.0,60.0,49.0,79.0,61.0,83.0,83.0,77.0,84.0,64.0,85.0,60.0,49.0,79.0,61.0,83.0,83.0,77.0,84.0,64.0,77.0
55,86.0,52.0,64.0,86.0,80.0,188350.0,86.0,63.0,52.0,80.0,64.0,86.0,84.0,82.0,86.0,67.0,86.0,63.0,52.0,80.0,64.0,86.0,84.0,82.0,86.0,67.0,82.0
56,67.0,84.0,81.0,67.0,74.0,184087.0,67.0,79.0,84.0,74.0,81.0,67.0,67.0,67.0,65.0,77.0,67.0,79.0,84.0,74.0,81.0,67.0,67.0,67.0,65.0,77.0,67.0
57,71.0,83.0,81.0,69.0,75.0,179944.0,71.0,79.0,83.0,75.0,81.0,69.0,70.0,69.0,69.0,78.0,71.0,79.0,83.0,75.0,81.0,69.0,70.0,69.0,69.0,78.0,69.0
58,76.0,57.0,60.0,80.0,71.0,179844.0,76.0,58.0,57.0,71.0,60.0,80.0,76.0,83.0,77.0,60.0,76.0,58.0,57.0,71.0,60.0,80.0,76.0,83.0,77.0,60.0,83.0
59,82.0,81.0,84.0,82.0,84.0,178518.0,82.0,83.0,81.0,84.0,84.0,82.0,82.0,80.0,81.0,84.0,82.0,83.0,81.0,84.0,84.0,82.0,82.0,80.0,81.0,84.0,80.0
60,67.0,84.0,80.0,66.0,72.0,177610.0,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,67.0
61,85.0,47.0,60.0,85.0,78.0,175943.0,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,78.0
62,59.0,84.0,76.0,61.0,63.0,172879.0,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,64.0
63,63.0,84.0,79.0,62.0,67.0,168609.0,63.0,77.0,84.0,67.0,79.0,62.0,63.0,63.0,61.0,75.0,63.0,77.0,84.0,67.0,79.0,62.0,63.0,63.0,61.0,75.0,63.0
64,82.0,44.0,52.0,84.0,72.0,165153.0,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,83.0
65,82.0,64.0,72.0,80.0,83.0,162895.0,82.0,70.0,64.0,83.0,72.0,80.0,81.0,77.0,80.0,72.0,82.0,70.0,64.0,83.0,72.0,80.0,81.0,77.0,80.0,72.0,77.0
66,85.0,42.0,57.0,83.0,78.0,156616.0,85.0,55.0,42.0,78.0,57.0,83.0,83.0,77.0,84.0,61.0,85.0,55.0,42.0,78.0,57.0,83.0,83.0,77.0,84.0,61.0,77.0
67,59.0,83.0,76.0,59.0,63.0,120533.0,59.0,75.0,83.0,63.0,76.0,59.0,59.0,61.0,58.0,72.0,59.0,75.0,83.0,63.0,76.0,59.0,59.0,61.0,58.0,72.0,61.0
68,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,48940.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
69,82.0,45.0,56.0,83.0,74.0,208418.0,82.0,56.0,45.0,74.0,56.0,83.0,83.0,79.0,84.0,60.0,82.0,56.0,45.0,74.0,56.0,83.0,83.0,79.0,84.0,60.0,79.0
70,64.0,83.0,79.0,62.0,69.0,201535.0,64.0,77.0,83.0,69.0,79.0,62.0,63.0,62.0,61.0,73.0,64.0,77.0,83.0,69.0,79.0,62.0,63.0,62.0,61.0,73.0,62.0
71,74.0,83.0,84.0,72.0,79.0,200145.0,74.0,78.0,83.0,79.0,84.0,72.0,71.0,72.0,69.0,77.0,74.0,78.0,83.0,79.0,84.0,72.0,71.0,72.0,69.0,77.0,72.0
72,85.0,39.0,54.0,83.0,77.0,198219.0,85.0,55.0,39.0,77.0,54.0,83.0,84.0,76.0,85.0,60.0,85.0,55.0,39.0,77.0,54.0,83.0,84.0,76.0,85.0,60.0,76.0
73,81.0,54.0,60.0,83.0,74.0,193301.0,81.0,59.0,54.0,74.0,60.0,83.0,80.0,83.0,82.0,62.0,81.0,59.0,54.0,74.0,60.0,83.0,80.0,83.0,82.0,62.0,83.0
74,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,193041.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
75,84.0,62.0,70.0,83.0,80.0,192883.0,84.0,70.0,62.0,80.0,70.0,83.0,83.0,79.0,84.0,73.0,84.0,70.0,62.0,80.0,70.0,83.0,83.0,79.0,84.0,73.0,79.0
76,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,192593.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
77,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,192563.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
78,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,192448.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
79,47.0,83.0,74.0,48.0,55.0,190547.0,47.0,72.0,83.0,55.0,74.0,48.0,50.0,52.0,45.0,68.0,47.0,72.0,83.0,55.0,74.0,48.0,50.0,52.0,45.0,68.0,52.0
80,78.0,78.0,80.0,78.0,78.0,189332.0,78.0,83.0,78.0,78.0,80.0,78.0,81.0,75.0,80.0,84.0,78.0,83.0,78.0,78.0,80.0,78.0,81.0,75.0,80.0,84.0,75.0
81,84.0,69.0,77.0,81.0,83.0,186942.0,84.0,73.0,69.0,83.0,77.0,81.0,81.0,76.0,81.0,75.0,84.0,73.0,69.0,83.0,77.0,81.0,81.0,76.0,81.0,75.0,76.0
82,72.0,83.0,82.0,70.0,76.0,184432.0,72.0,84.0,83.0,76.0,82.0,70.0,74.0,68.0,71.0,83.0,72.0,84.0,83.0,76.0,82.0,70.0,74.0,68.0,71.0,83.0,68.0
83,83.0,58.0,66.0,82.0,78.0,183898.0,83.0,66.0,58.0,78.0,66.0,82.0,83.0,77.0,83.0,70.0,83.0,66.0,58.0,78.0,66.0,82.0,83.0,77.0,83.0,70.0,77.0
84,83.0,70.0,78.0,80.0,83.0,180206.0,83.0,75.0,70.0,83.0,78.0,80.0,81.0,74.0,80.0,77.0,83.0,75.0,70.0,83.0,78.0,80.0,81.0,74.0,80.0,77.0,74.0
85,82.0,77.0,81.0,80.0,83.0,173210.0,82.0,79.0,77.0,83.0,81.0,80.0,81.0,76.0,80.0,80.0,82.0,79.0,77.0,83.0,81.0,80.0,81.0,76.0,80.0,80.0,76.0
86,70.0,83.0,81.0,70.0,74.0,172871.0,70.0,80.0,83.0,74.0,81.0,70.0,70.0,70.0,69.0,78.0,70.0,80.0,83.0,74.0,81.0,70.0,70.0,70.0,69.0,78.0,70.0
87,76.0,82.0,83.0,75.0,79.0,170890.0,76.0,82.0,82.0,79.0,83.0,75.0,77.0,73.0,75.0,82.0,76.0,82.0,82.0,79.0,83.0,75.0,77.0,73.0,75.0,82.0,73.0
88,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,167628.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
89,75.0,80.0,81.0,74.0,77.0,164169.0,75.0,83.0,80.0,77.0,81.0,74.0,78.0,72.0,75.0,83.0,75.0,83.0,80.0,77.0,81.0,74.0,78.0,72.0,75.0,83.0,72.0
90,62.0,82.0,77.0,62.0,67.0,139720.0,62.0,76.0,82.0,67.0,77.0,62.0,63.0,63.0,61.0,74.0,62.0,76.0,82.0,67.0,77.0,62.0,63.0,63.0,61.0,74.0,63.0
91,58.0,83.0,76.0,55.0,63.0,137186.0,58.0,75.0,83.0,63.0,76.0,55.0,57.0,53.0,55.0,71.0,58.0,75.0,83.0,63.0,76.0,55.0,57.0,53.0,55.0,71.0,53.0
92,61.0,83.0,76.0,61.0,65.0,225508.0,61.0,77.0,83.0,65.0,76.0,61.0,63.0,60.0,61.0,75.0,61.0,77.0,83.0,65.0,76.0,61.0,63.0,60.0,61.0,75.0,60.0
93,82.0,50.0,62.0,81.0,78.0,220834.0,82.0,60.0,50.0,78.0,62.0,81.0,81.0,77.0,81.0,65.0,82.0,60.0,50.0,78.0,62.0,81.0,81.0,77.0,81.0,65.0,77.0
94,83.0,53.0,66.0,82.0,79.0,218667.0,83.0,63.0,53.0,79.0,66.0,82.0,83.0,75.0,83.0,68.0,83.0,63.0,53.0,79.0,66.0,82.0,83.0,75.0,83.0,68.0,75.0
95,62.0,83.0,79.0,62.0,69.0,212218.0,62.0,78.0,83.0,69.0,79.0,62.0,64.0,64.0,61.0,75.0,62.0,78.0,83.0,69.0,79.0,62.0,64.0,64.0,61.0,75.0,64.0
96,83.0,69.0,75.0,83.0,81.0,211117.0,83.0,72.0,69.0,81.0,75.0,83.0,81.0,81.0,81.0,73.0,83.0,72.0,69.0,81.0,75.0,83.0,81.0,81.0,81.0,73.0,81.0
97,81.0,51.0,60.0,82.0,74.0,208722.0,81.0,60.0,51.0,74.0,60.0,82.0,82.0,79.0,83.0,63.0,81.0,60.0,51.0,74.0,60.0,82.0,82.0,79.0,83.0,63.0,79.0
98,70.0,81.0,80.0,69.0,73.0,204963.0,70.0,83.0,81.0,73.0,80.0,69.0,75.0,65.0,72.0,83.0,70.0,83.0,81.0,73.0,80.0,69.0,75.0,65.0,72.0,83.0,65.0
99,83.0,49.0,59.0,83.0,77.0,202166.0,83.0,57.0,49.0,77.0,59.0,83.0,82.0,80.0,83.0,62.0,83.0,57.0,49.0,77.0,59.0,83.0,82.0,80.0,83.0,62.0,80.0
100,75.0,46.0,50.0,79.0,67.0,201399.0,75.0,49.0,46.0,67.0,50.0,79.0,73.0,82.0,75.0,51.0,75.0,49.0,46.0,67.0,50.0,79.0,73.0,82.0,75.0,51.0,82.0
101,79.0,45.0,51.0,81.0,70.0,201153.0,79.0,51.0,45.0,70.0,51.0,81.0,78.0,82.0,80.0,56.0,79.0,51.0,45.0,70.0,51.0,81.0,78.0,82.0,80.0,56.0,82.0
102,48.0,83.0,73.0,49.0,55.0,201024.0,48.0,74.0,83.0,55.0,73.0,49.0,52.0,51.0,48.0,70.0,48.0,74.0,83.0,55.0,73.0,49.0,52.0,51.0,48.0,70.0,51.0
103,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,200316.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
104,82.0,67.0,75.0,80.0,82.0,193747.0,82.0,71.0,67.0,82.0,75.0,80.0,81.0,77.0,80.0,74.0,82.0,71.0,67.0,82.0,75.0,80.0,81.0,77.0,80.0,74.0,77.0
105,49.0,83.0,74.0,48.0,56.0,192774.0,49.0,76.0,83.0,56.0,74.0,48.0,53.0,49.0,49.0,72.0,49.0,76.0,83.0,56.0,74.0,48.0,53.0,49.0,49.0,72.0,49.0
106,64.0,82.0,78.0,63.0,68.0,192227.0,64.0,76.0,82.0,68.0,78.0,63.0,63.0,65.0,62.0,74.0,64.0,76.0,82.0,68.0,78.0,63.0,63.0,65.0,62.0,74.0,65.0
107,81.0,78.0,83.0,79.0,83.0,191740.0,81.0,80.0,78.0,83.0,83.0,79.0,80.0,75.0,79.0,81.0,81.0,80.0,78.0,83.0,83.0,79.0,80.0,75.0,79.0,81.0,75.0
108,80.0,79.0,83.0,78.0,83.0,189712.0,80.0,78.0,79.0,83.0,83.0,78.0,78.0,76.0,77.0,79.0,80.0,78.0,79.0,83.0,83.0,78.0,78.0,76.0,77.0,79.0,76.0
109,82.0,50.0,61.0,82.0,77.0,189505.0,82.0,60.0,50.0,77.0,61.0,82.0,82.0,77.0,83.0,65.0,82.0,60.0,50.0,77.0,61.0,82.0,82.0,77.0,83.0,65.0,77.0
